,x,variable,value,label
53291,291.5831663326653,106,-0.7401,mod
53292,292.5851703406813,106,-0.7302,mod
53293,293.5871743486974,106,-0.7332,mod
53294,294.5891783567134,106,-0.7362,mod
53295,295.59118236472943,106,-0.7393,mod
53296,296.59318637274544,106,-0.7423,mod
53297,297.5951903807615,106,-0.7453,mod
53298,298.5971943887775,106,-0.7483,mod
53299,299.59919839679355,106,-0.7513,mod
53300,300.6012024048096,106,-0.444,mod
53301,301.6032064128256,106,-0.4821,mod
53302,302.6052104208417,106,-0.4941,mod
53303,303.6072144288577,106,-0.4886,mod
53304,304.60921843687373,106,-0.469,mod
53305,305.61122244488973,106,-0.445,mod
53306,306.6132264529058,106,-0.3839,mod
53307,307.6152304609218,106,-0.3507,mod
53308,308.61723446893785,106,-0.4278,mod
53309,309.61923847695385,106,-0.4032,mod
53310,310.6212424849699,106,-0.3429,mod
53311,311.6232464929859,106,-0.3913,mod
53312,312.625250501002,106,-0.4948,mod
53313,313.62725450901803,106,-0.4357,mod
53314,314.62925851703403,106,-0.453,mod
53315,315.6312625250501,106,-0.4619,mod
53316,316.6332665330661,106,-0.4767,mod
53317,317.63527054108215,106,-0.4394,mod
53318,318.63727454909815,106,-0.678,mod
53319,319.6392785571142,106,-0.447,mod
53320,320.6412825651302,106,-0.5706,mod
53321,321.64328657314627,106,-0.6979,mod
53322,322.64529058116227,106,-0.3629,mod
53323,323.64729458917833,106,-0.6486,mod
53324,324.64929859719433,106,-0.3555,mod
53325,325.6513026052104,106,-0.3293,mod
53326,326.6533066132264,106,0.1465,mod
53327,327.65531062124245,106,-0.5262,mod
53328,328.6573146292585,106,-0.6787,mod
53329,329.6593186372745,106,0.1207,mod
53330,330.66132264529057,106,-0.349,mod
53331,331.66332665330657,106,-0.263,mod
53332,332.6653306613226,106,-0.113,mod
53333,333.66733466933863,106,-0.2049,mod
53334,334.6693386773547,106,-0.1022,mod
53335,335.6713426853707,106,-0.0608,mod
53336,336.67334669338675,106,-0.1432,mod
53337,337.67535070140275,106,-0.5915,mod
53338,338.6773547094188,106,-0.0224,mod
53339,339.6793587174348,106,-0.4269,mod
53340,340.68136272545087,106,-0.2459,mod
53341,341.68336673346687,106,-0.0842,mod
53342,342.6853707414829,106,-0.1356,mod
53343,343.687374749499,106,-0.3077,mod
53344,344.689378757515,106,-0.333,mod
53345,345.69138276553105,106,-0.3605,mod
53346,346.69338677354705,106,-0.5798,mod
53347,347.6953907815631,106,-0.6212,mod
53348,348.6973947895791,106,-0.8089,mod
53349,349.69939879759517,106,-0.545,mod
53350,350.70140280561117,106,-0.4525,mod
53351,351.7034068136272,106,-0.3326,mod
53352,352.7054108216432,106,-0.3033,mod
53353,353.7074148296593,106,-0.4318,mod
53354,354.7094188376753,106,-0.4195,mod
53355,355.71142284569135,106,-0.3292,mod
53356,356.7134268537074,106,-0.3971,mod
53357,357.7154308617234,106,-0.2758,mod
53358,358.71743486973946,106,-0.408,mod
53359,359.71943887775547,106,-0.29,mod
53360,360.7214428857715,106,-0.4337,mod
53361,361.7234468937875,106,-0.3088,mod
53362,362.7254509018036,106,-0.3619,mod
53363,363.7274549098196,106,-0.2631,mod
53364,364.72945891783564,106,-0.3592,mod
53365,365.73146292585164,106,-0.2785,mod
53366,366.7334669338677,106,-0.4127,mod
53367,367.7354709418837,106,-0.3663,mod
53368,368.73747494989976,106,-0.4295,mod
53369,369.73947895791576,106,-0.2552,mod
53370,370.7414829659318,106,-0.2134,mod
53371,371.7434869739479,106,-0.2416,mod
53372,372.7454909819639,106,-0.3062,mod
53373,373.74749498997994,106,-0.3269,mod
53374,374.74949899799594,106,-0.3208,mod
53375,375.751503006012,106,-0.2806,mod
53376,376.753507014028,106,-0.2478,mod
53377,377.75551102204406,106,-0.2177,mod
53378,378.75751503006006,106,-0.1824,mod
53379,379.7595190380761,106,-0.2598,mod
53380,380.7615230460921,106,-0.268,mod
53381,381.7635270541082,106,-0.3877,mod
53382,382.7655310621242,106,-0.2715,mod
53383,383.76753507014024,106,-0.3695,mod
53384,384.7695390781563,106,-0.3909,mod
53385,385.7715430861723,106,-0.4023,mod
53386,386.77354709418836,106,-0.3786,mod
53387,387.77555110220436,106,-0.3147,mod
53388,388.7775551102204,106,-0.3168,mod
53389,389.7795591182364,106,-0.3211,mod
53390,390.7815631262525,106,-0.2825,mod
53391,391.7835671342685,106,-0.278,mod
53392,392.78557114228454,106,-0.3868,mod
53393,393.78757515030054,106,-0.2783,mod
53394,394.7895791583166,106,-0.231,mod
53395,395.7915831663326,106,-0.1413,mod
53396,396.79358717434866,106,-0.6387,mod
53397,397.79559118236466,106,-0.7312,mod
53398,398.7975951903807,106,-0.5884,mod
53399,399.7995991983968,106,-0.5037,mod
53400,400.8016032064128,106,-0.1323,mod
53401,401.80360721442884,106,-0.1196,mod
53402,402.80561122244484,106,-0.1069,mod
53403,403.8076152304609,106,-0.0942,mod
53404,404.8096192384769,106,-0.0815,mod
53405,405.81162324649296,106,-0.0687,mod
53406,406.81362725450896,106,-0.056,mod
53407,407.815631262525,106,-0.0433,mod
53408,408.817635270541,106,-0.0306,mod
53409,409.8196392785571,106,-0.0179,mod
53410,410.8216432865731,106,-0.0051,mod
53411,411.82364729458914,106,0.0076,mod
53412,412.82565130260514,106,0.0203,mod
53413,413.8276553106212,106,0.033,mod
53414,414.82965931863725,106,0.0458,mod
53415,415.83166332665326,106,0.0585,mod
53416,416.8336673346693,106,0.0712,mod
53417,417.8356713426853,106,0.0839,mod
53418,418.8376753507014,106,0.0966,mod
53419,419.8396793587174,106,0.1094,mod
53420,420.84168336673343,106,0.1186,mod
53421,421.84368737474944,106,0.1141,mod
53422,422.8456913827655,106,0.1096,mod
53423,423.8476953907815,106,0.105,mod
53424,424.84969939879755,106,0.1005,mod
53425,425.85170340681356,106,0.096,mod
53426,426.8537074148296,106,0.0915,mod
53427,427.8557114228457,106,0.0869,mod
53428,428.8577154308617,106,0.0824,mod
53429,429.85971943887773,106,0.0779,mod
53430,430.86172344689373,106,0.0733,mod
53431,431.8637274549098,106,0.0688,mod
53432,432.8657314629258,106,0.0643,mod
53433,433.86773547094185,106,0.0598,mod
53434,434.86973947895785,106,0.0552,mod
53435,435.8717434869739,106,0.0507,mod
53436,436.8737474949899,106,0.0462,mod
53437,437.875751503006,106,0.0417,mod
53438,438.877755511022,106,0.0371,mod
53439,439.87975951903803,106,0.0326,mod
53440,440.88176352705403,106,0.0312,mod
53441,441.8837675350701,106,0.0344,mod
53442,442.88577154308615,106,0.0376,mod
53443,443.88777555110215,106,0.0409,mod
53444,444.8897795591182,106,0.0441,mod
53445,445.8917835671342,106,0.0473,mod
53446,446.89378757515027,106,0.0506,mod
53447,447.8957915831663,106,0.0538,mod
53448,448.89779559118233,106,0.057,mod
53449,449.89979959919833,106,0.0603,mod
53450,450.9018036072144,106,0.0635,mod
53451,451.9038076152304,106,0.0668,mod
53452,452.90581162324645,106,0.07,mod
53453,453.90781563126245,106,0.0732,mod
53454,454.9098196392785,106,0.0765,mod
53455,455.9118236472945,106,0.0797,mod
53456,456.91382765531057,106,0.0829,mod
53457,457.9158316633266,106,0.0862,mod
53458,458.91783567134263,106,0.0894,mod
53459,459.9198396793587,106,0.0926,mod
53460,460.9218436873747,106,0.0957,mod
53461,461.92384769539075,106,0.0987,mod
53462,462.92585170340675,106,0.1018,mod
53463,463.9278557114228,106,0.1048,mod
53464,464.9298597194388,106,0.1078,mod
53465,465.93186372745487,106,0.1108,mod
53466,466.93386773547087,106,0.1138,mod
53467,467.9358717434869,106,0.1169,mod
53468,468.93787575150293,106,0.1199,mod
53469,469.939879759519,106,0.1229,mod
53470,470.94188376753505,106,0.1259,mod
53471,471.94388777555105,106,0.1289,mod
53472,472.9458917835671,106,0.1319,mod
53473,473.9478957915831,106,0.135,mod
53474,474.94989979959917,106,0.138,mod
53475,475.95190380761517,106,0.141,mod
53476,476.9539078156312,106,0.144,mod
53477,477.9559118236472,106,0.147,mod
53478,478.9579158316633,106,0.1501,mod
53479,479.9599198396793,106,0.1531,mod
53480,480.96192384769535,106,0.1563,mod
53481,481.96392785571135,106,0.1595,mod
53482,482.9659318637274,106,0.1627,mod
53483,483.9679358717434,106,0.166,mod
53484,484.96993987975947,106,0.1692,mod
53485,485.9719438877755,106,0.1724,mod
53486,486.9739478957915,106,0.1757,mod
53487,487.9759519038076,106,0.1789,mod
53488,488.9779559118236,106,0.1821,mod
53489,489.97995991983964,106,0.1854,mod
53490,490.98196392785565,106,0.1886,mod
53491,491.9839679358717,106,0.1918,mod
53492,492.9859719438877,106,0.1951,mod
53493,493.98797595190376,106,0.1983,mod
53494,494.98997995991976,106,0.2015,mod
53495,495.9919839679358,106,0.2048,mod
53496,496.9939879759518,106,0.208,mod
53497,497.9959919839679,106,0.2112,mod
53498,498.99799599198394,106,0.2145,mod
53499,500.0,106,0.2177,mod
53500,0.0,107,0.4445,mod
53501,1.002004008016032,107,0.4491,mod
53502,2.004008016032064,107,0.4536,mod
53503,3.006012024048096,107,0.4582,mod
53504,4.008016032064128,107,0.4627,mod
53505,5.0100200400801596,107,0.4673,mod
53506,6.012024048096192,107,0.4717,mod
53507,7.014028056112224,107,0.4755,mod
53508,8.016032064128256,107,0.4793,mod
53509,9.018036072144287,107,0.4831,mod
53510,10.020040080160319,107,0.4869,mod
53511,11.02204408817635,107,0.4907,mod
53512,12.024048096192384,107,0.5049,mod
53513,13.026052104208416,107,0.5384,mod
53514,14.028056112224448,107,0.5718,mod
53515,15.03006012024048,107,0.6052,mod
53516,16.03206412825651,107,0.6386,mod
53517,17.034068136272545,107,0.672,mod
53518,18.036072144288575,107,0.6934,mod
53519,19.03807615230461,107,0.704,mod
53520,20.040080160320638,107,0.7147,mod
53521,21.04208416833667,107,0.7253,mod
53522,22.0440881763527,107,0.7359,mod
53523,23.046092184368735,107,0.7466,mod
53524,24.04809619238477,107,0.7352,mod
53525,25.0501002004008,107,0.7147,mod
53526,26.052104208416832,107,0.6942,mod
53527,27.054108216432862,107,0.6737,mod
53528,28.056112224448896,107,0.6532,mod
53529,29.058116232464926,107,0.6327,mod
53530,30.06012024048096,107,0.6343,mod
53531,31.06212424849699,107,0.6388,mod
53532,32.06412825651302,107,0.6434,mod
53533,33.06613226452905,107,0.648,mod
53534,34.06813627254509,107,0.6525,mod
53535,35.07014028056112,107,0.6554,mod
53536,36.07214428857715,107,0.6311,mod
53537,37.07414829659318,107,0.6068,mod
53538,38.07615230460922,107,0.5825,mod
53539,39.07815631262525,107,0.5582,mod
53540,40.080160320641276,107,0.5339,mod
53541,41.08216432865731,107,0.5255,mod
53542,42.08416833667334,107,0.5687,mod
53543,43.08617234468937,107,0.612,mod
53544,44.0881763527054,107,0.6553,mod
53545,45.09018036072144,107,0.6986,mod
53546,46.09218436873747,107,0.7419,mod
53547,47.0941883767535,107,0.753,mod
53548,48.09619238476954,107,0.718,mod
53549,49.09819639278557,107,0.6831,mod
53550,50.1002004008016,107,0.6482,mod
53551,51.10220440881763,107,0.6132,mod
53552,52.104208416833664,107,0.5783,mod
53553,53.106212424849694,107,0.5809,mod
53554,54.108216432865724,107,0.6098,mod
53555,55.110220440881754,107,0.6386,mod
53556,56.11222444889779,107,0.6675,mod
53557,57.11422845691382,107,0.6963,mod
53558,58.11623246492985,107,0.7252,mod
53559,59.11823647294589,107,0.7326,mod
53560,60.12024048096192,107,0.7333,mod
53561,61.12224448897795,107,0.7341,mod
53562,62.12424849699398,107,0.7348,mod
53563,63.126252505010015,107,0.7356,mod
53564,64.12825651302605,107,0.7364,mod
53565,65.13026052104208,107,0.6099,mod
53566,66.1322645290581,107,0.4755,mod
53567,67.13426853707413,107,0.341,mod
53568,68.13627254509018,107,0.2066,mod
53569,69.13827655310621,107,0.0722,mod
53570,70.14028056112224,107,-0.0328,mod
53571,71.14228456913827,107,0.0834,mod
53572,72.1442885771543,107,0.1996,mod
53573,73.14629258517033,107,0.3158,mod
53574,74.14829659318636,107,0.432,mod
53575,75.1503006012024,107,0.5482,mod
53576,76.15230460921843,107,0.6345,mod
53577,77.15430861723446,107,0.6489,mod
53578,78.1563126252505,107,0.6634,mod
53579,79.15831663326652,107,0.6778,mod
53580,80.16032064128255,107,0.6922,mod
53581,81.16232464929858,107,0.7067,mod
53582,82.16432865731463,107,0.6553,mod
53583,83.16633266533066,107,0.53,mod
53584,84.16833667334669,107,0.4047,mod
53585,85.17034068136272,107,0.2794,mod
53586,86.17234468937875,107,0.1541,mod
53587,87.17434869739478,107,0.0287,mod
53588,88.1763527054108,107,0.0553,mod
53589,89.17835671342685,107,0.1647,mod
53590,90.18036072144288,107,0.274,mod
53591,91.18236472945891,107,0.3834,mod
53592,92.18436873747494,107,0.4927,mod
53593,93.18637274549097,107,0.6021,mod
53594,94.188376753507,107,0.6214,mod
53595,95.19038076152303,107,0.6214,mod
53596,96.19238476953907,107,0.6214,mod
53597,97.1943887775551,107,0.6214,mod
53598,98.19639278557113,107,0.6214,mod
53599,99.19839679358716,107,0.6214,mod
53600,100.2004008016032,107,-0.1791,mod
53601,101.20240480961922,107,-0.3993,mod
53602,102.20440881763525,107,-0.6194,mod
53603,103.20641282565128,107,-0.8396,mod
53604,104.20841683366733,107,-0.957,mod
53605,105.21042084168336,107,-0.9557,mod
53606,106.21242484969939,107,-0.9545,mod
53607,107.21442885771542,107,-0.9532,mod
53608,108.21643286573145,107,-0.9485,mod
