,Umap1,Umap2,label,A
281,11.419166,4.559613,m1A,0
282,10.44199,5.6798444,m1A,0
283,6.1834936,10.977671,m1A,0
284,4.5394206,13.72437,m1A,0
285,7.511746,11.113225,m1A,0
286,7.547554,9.957297,m1A,0
287,10.075938,5.375544,m1A,0
288,7.101137,11.24851,m1A,0
289,6.468359,13.269615,m1A,0
290,13.172702,4.669719,m1A,0
291,10.462193,5.9466863,m1A,0
292,11.276177,4.5554795,m1A,0
293,9.842229,7.0449076,m1A,0
294,8.8316965,10.805927,m1A,0
295,8.305797,9.293685,m1A,0
296,10.757553,6.4101357,m1A,0
297,6.944037,10.284076,m1A,0
298,12.231291,5.5593534,m1A,0
299,12.901985,5.6180043,m1A,0
300,11.396355,4.727791,m1A,0
301,5.967232,11.0427265,m1A,0
302,8.412915,8.950412,m1A,0
303,4.8221745,13.723449,m1A,0
304,10.21368,6.8118987,m1A,0
305,10.990058,5.360729,m1A,0
306,8.678638,8.359238,m1A,0
307,6.8879037,10.247087,m1A,0
308,5.5996914,13.447912,m1A,0
309,4.5556383,13.720969,m1A,0
310,13.054953,4.806398,m1A,0
311,11.03759,5.274405,m1A,0
312,8.4798975,9.455326,m1A,0
313,10.914119,5.8773127,m1A,0
314,10.698956,7.2135606,m1A,0
315,9.7117195,7.1436286,m1A,0
316,11.144121,5.179502,m1A,0
317,4.285779,13.336353,m1A,0
318,9.368402,7.648731,m1A,0
319,11.89855,4.7485857,m1A,0
320,10.84238,5.556979,m1A,0
321,10.695457,6.7816668,m1A,0
322,10.298825,6.369517,m1A,0
323,11.410873,7.6286182,m1A,0
324,6.3869696,13.022435,m1A,0
325,8.440953,9.315068,m1A,0
326,11.251485,6.078297,m1A,0
327,11.517957,4.5886955,m1A,0
328,9.412286,8.137658,m1A,0
329,4.6319575,11.9436865,m1A,0
330,7.7010746,10.1334,m1A,0
331,7.876276,12.353294,m1A,0
332,5.7448235,13.425407,m1A,0
333,4.6256447,13.754221,m1A,0
334,9.709447,6.8256664,m1A,0
335,10.216864,6.1530175,m1A,0
336,7.620203,12.640007,m1A,0
337,7.989133,12.130287,m1A,0
338,11.48817,8.126624,m1A,0
339,10.86785,8.987604,m1A,0
340,9.656697,6.792957,m1A,0
341,12.959946,5.1288548,m1A,0
342,10.248528,5.5158434,m1A,0
343,11.282328,6.9175763,m1A,0
344,7.0995765,10.11722,m1A,0
345,4.583045,13.720549,m1A,0
346,4.840136,13.787711,m1A,0
347,7.931223,12.282847,m1A,0
348,10.014641,6.8372226,m1A,0
349,9.987426,5.329527,m1A,0
350,8.727459,8.116055,m1A,0
351,5.146684,13.574133,m1A,0
352,7.9998136,10.198138,m1A,0
353,8.012537,9.553274,m1A,0
354,5.359255,11.370262,m1A,0
355,5.203218,13.79579,m1A,0
356,11.521604,5.462689,m1A,0
357,11.195418,5.3214912,m1A,0
358,6.19225,10.838096,m1A,0
359,9.015821,8.417481,m1A,0
360,4.505911,13.594949,m1A,0
361,7.0897126,12.115024,m1A,0
362,9.829277,6.867801,m1A,0
363,4.338431,13.183575,m1A,0
364,7.175524,9.981196,m1A,0
365,10.099236,5.431984,m1A,0
366,4.3887267,13.111811,m1A,0
367,5.194796,13.429266,m1A,0
368,9.403334,7.2373924,m1A,0
369,7.350455,10.958389,m1A,0
370,9.983796,7.1184726,m1A,0
371,11.99971,5.181049,m1A,0
372,10.483664,10.814503,m1A,0
373,7.6027565,10.20545,m1A,0
374,10.903107,8.608594,m1A,0
375,11.413993,8.358,m1A,0
376,5.142618,13.5727625,m1A,0
377,5.3384094,13.60175,m1A,0
378,6.5381002,12.828539,m1A,0
379,4.496163,11.995218,m1A,0
380,11.727102,4.9684157,m1A,0
381,5.2593336,13.538937,m1A,0
382,12.988073,5.5552645,m1A,0
383,10.64179,7.6229954,m1A,0
384,4.7050257,13.760049,m1A,0
385,8.740425,8.504169,m1A,0
386,5.0712256,13.6571245,m1A,0
387,5.3889184,13.663273,m1A,0
388,8.129436,9.526869,m1A,0
389,7.33326,12.530624,m1A,0
390,12.106015,5.435344,m1A,0
391,5.1037436,13.552161,m1A,0
392,5.3442883,13.350003,m1A,0
393,9.873218,6.834136,m1A,0
394,6.107424,13.242769,m1A,0
395,8.339229,12.295973,m1A,0
396,11.462406,5.023328,m1A,0
397,10.10725,6.6992106,m1A,0
398,4.9055414,13.683449,m1A,0
399,8.013618,9.429859,m1A,0
400,10.043719,5.399313,m1A,0
401,10.58856,6.5640326,m1A,0
402,10.386489,10.773351,m1A,0
403,12.088222,4.592653,m1A,0
404,5.4987526,13.375123,m1A,0
405,10.383325,6.666764,m1A,0
406,5.139206,11.484334,m1A,0
407,12.60874,4.6221046,m1A,0
408,10.6634035,9.194885,m1A,0
409,4.6782384,11.777877,m1A,0
410,4.7330246,13.756431,m1A,0
411,13.029724,5.6146383,m1A,0
412,4.5649014,11.913494,m1A,0
